car_speed angle_change(30-60m) angle_change(60-90m) average_angle_change car_x car_y car_s
22.6818 0.0685981 0.0485066 0.0585524 2028.38 1226.03 1273.71
22.5229 0.0673462 0.0468343 0.0570903 2029.41 1227.51 1275.51
22.6156 0.0663979 0.0455673 0.0559826 2030.17 1228.63 1276.86
22.4498 0.0651314 0.0438775 0.0545045 2031.17 1230.13 1278.66
22.4042 0.0625647 0.0404849 0.0515248 2033.12 1233.15 1282.26
22.5748 0.0612675 0.0388151 0.0500413 2034.07 1234.67 1284.05
22.3894 0.0599605 0.0371794 0.04857 2035.02 1236.2 1285.85
22.4929 0.0586337 0.0355817 0.0471077 2035.95 1237.74 1287.65
22.3631 0.0546074 0.031251 0.0429292 2038.53 1242.44 1293.01
22.5118 0.0847172 0.0619074 0.0733123 2332.83 2814.74 2898.99
22.4231 0.0835206 0.0593707 0.0714457 2331.89 2818.2 2902.59
22.5322 0.0827317 0.0582649 0.0704983 2331.41 2819.94 2904.39
22.5273 0.052907 0.0358595 0.0443832 2256.19 2949.87 3052.82
22.6215 0.0524577 0.0341715 0.0433146 2254.88 2951.11 3054.62
22.5627 0.0519434 0.0324811 0.0422122 2253.57 2952.34 3056.42
22.6418 0.0513475 0.0307877 0.0410676 2252.24 2953.58 3058.23
22.7139 0.0508428 0.0295279 0.0401853 2251.25 2954.51 3059.59
22.6093 0.0503207 0.0283621 0.0393414 2249.93 2955.74 3060.86
22.3874 0.0494883 0.0267299 0.0381091 2248.6 2956.97 3062.67
22.4736 0.0485447 0.0251429 0.0368438 2247.28 2958.2 3064.48
22.5133 0.0474865 0.0236027 0.0355446 2245.95 2959.42 3066.28
22.684 0.0463181 0.0221217 0.0342199 2244.61 2960.64 3068.09
22.5169 0.04537 0.0210504 0.0332102 2243.6 2961.54 3069.44
22.5858 0.0440267 0.0196898 0.0318582 2242.27 2962.75 3071.24
22.4885 0.042591 0.0183907 0.0304908 2240.91 2963.94 3073.05
22.5599 0.0410777 0.0171546 0.0291162 2239.55 2965.14 3074.85
22.5347 0.0395104 0.0159885 0.0277495 2238.19 2966.32 3076.65
22.6683 0.0378905 0.0148803 0.0263854 2236.82 2967.49 3078.46
22.4636 0.0345522 0.0128385 0.0236953 2234.04 2969.78 3082.06
22.3867 0.0345244 0.0301479 0.0323362 158.091 2076.33 5758.55
22.3645 0.0244111 0.0531714 0.0387912 160.996 2057.43 5777.68
22.3576 0.0273807 0.0611062 0.0442435 162.232 2050.43 5784.78
22.3714 0.023604 0.00330231 0.0134531 188.095 1939.29 5897.34
22.3554 0.0346154 0.0308545 0.032735 549.409 1246.66 6679.26
22.3733 0.0301444 0.0302723 0.0302083 578.746 1217 6720.03
22.388 0.0299871 0.0296222 0.0298047 586.051 1210.47 6729.82
22.3878 0.0299769 0.0290156 0.0294963 590.058 1206.91 6735.18
22.4226 0.0299735 0.0288401 0.0294068 591.394 1205.73 6736.5
22.3946 0.0299308 0.0280312 0.028981 595.406 1202.19 6741.85
22.4054 0.020282 0.0124662 0.0163741 642.721 1166.73 6800
