784.6 1135.57 1 -0.0235983 -0.999722
785.6 1135.54 2 -0.0231769 -0.99973
786.6 1135.52 3 -0.0227557 -0.999738
787.599 1135.49 4 -0.0223345 -0.999746
788.599 1135.46 5 -0.0219135 -0.999755
789.599 1135.44 6 -0.0214928 -0.999763
790.598 1135.41 7 -0.0210725 -0.999771
791.598 1135.39 8 -0.0206525 -0.999779
792.598 1135.36 9 -0.020233 -0.999787
793.598 1135.33 10 -0.0198141 -0.999795
794.597 1135.31 11 -0.0193957 -0.999803
795.597 1135.29 12 -0.018978 -0.999811
796.597 1135.26 13 -0.0185611 -0.999819
797.597 1135.24 14 -0.018145 -0.999827
798.596 1135.21 15 -0.0177297 -0.999834
799.596 1135.19 16 -0.0173153 -0.999842
800.596 1135.17 17 -0.016902 -0.999849
801.596 1135.15 18 -0.0164897 -0.999857
802.596 1135.13 19 -0.0160786 -0.999864
803.595 1135.11 20 -0.0156687 -0.999871
804.595 1135.09 21 -0.0152601 -0.999878
805.595 1135.07 22 -0.0148527 -0.999884
806.595 1135.05 23 -0.0144468 -0.999891
807.595 1135.03 24 -0.0140424 -0.999897
808.594 1135.01 25 -0.0136395 -0.999903
809.594 1135 26 -0.0132382 -0.999909
810.594 1134.98 27 -0.0128386 -0.999915
811.594 1134.97 28 -0.0124407 -0.999921
812.594 1134.96 29 -0.0120447 -0.999926
813.594 1134.95 30 -0.0116505 -0.999931
814.593 1134.94 31 -0.0112582 -0.999936
815.593 1134.93 32 -0.010868 -0.999941
816.593 1134.92 33 -0.0104799 -0.999946
817.593 1134.91 34 -0.0100944 -0.99995
818.593 1134.91 35 -0.0097119 -0.999954
819.593 1134.9 36 -0.00933268 -0.999958
820.593 1134.9 37 -0.00895718 -0.999962
821.593 1134.89 38 -0.00858577 -0.999965
822.593 1134.89 39 -0.00821884 -0.999968
823.593 1134.89 40 -0.00785678 -0.999971
824.593 1134.89 41 -0.00749996 -0.999974
825.593 1134.89 42 -0.00714877 -0.999977
826.593 1134.89 43 -0.00680359 -0.999979
827.593 1134.89 44 -0.00646481 -0.999981
828.593 1134.89 45 -0.00613281 -0.999984
829.593 1134.89 46 -0.00580798 -0.999986
830.593 1134.89 47 -0.00549069 -0.999987
831.593 1134.89 48 -0.00518133 -0.999989
832.593 1134.89 49 -0.00488029 -0.99999
833.593 1134.89 50 -0.00458795 -0.999992
834.593 1134.9 51 -0.00430469 -0.999993
835.593 1134.9 52 -0.0040309 -0.999994
836.593 1134.9 53 -0.00376695 -0.999995
837.593 1134.9 54 -0.00351324 -0.999996
838.593 1134.91 55 -0.00327014 -0.999996
839.593 1134.91 56 -0.00303805 -0.999997
840.593 1134.91 57 -0.00281734 -0.999997
841.593 1134.91 58 -0.00260839 -0.999998
842.593 1134.91 59 -0.0024116 -0.999998
843.593 1134.91 60 -0.00222734 -0.999998
844.593 1134.91 61 -0.002056 -0.999998
845.593 1134.91 62 -0.00189786 -0.999998
846.594 1134.91 63 -0.00175277 -0.999998
847.594 1134.91 64 -0.00162042 -0.999997
848.594 1134.91 65 -0.00150053 -0.999997
